processed_intent,processed_class,processed_attributes,processed_filter_attributes,processed_key_quantity,id,user_msg,expected_intent,expected_class,expected_attributes,expected_filter_attributes,expected_key_quantity,dataset
add,student,"{'name': 'anderson martins gomes', 'age': '20'}",{},,bec05fe2-e461-4a10-b646-015064daf29b,"add student with name=anderson martins gomes, age=20",add,student,"{'name': 'anderson martins gomes', 'age': '20'}",{},2,ORIGINAL
add,subject,{'name': 'of'},{},,f169f6e4-03c9-4803-9967-81e1939ebeeb,"add subject with name=brazilian history, description=the history of brazil",add,subject,"{'name': 'brazilian history', 'description': 'the history of brazil'}",{},2,ORIGINAL
add,teacher,"{'name': 'paulo henrique', 'age': '65', '_': 'br'}",{},,01525301-71fd-42f9-9589-fa991dcafd87,"add teacher with name=paulo henrique, age=65, email=ph@uece.br",add,teacher,"{'name': 'paulo henrique', 'age': '65', 'email': 'ph@uece.br'}",{},3,ORIGINAL
add,subject,"{'name': 'math', 'best_subject': 'ever'}",{},,757c378a-6f9e-4203-acab-fb74fea0afb1,"add subject with name=math, description=the best subject ever",add,subject,"{'name': 'math', 'description': 'the best subject ever'}",{},2,ORIGINAL
add,subject,"{'name': 'math', 'description': 'the best subject ever!'}",{},,ab3979a5-b17d-48f9-ad62-819b5a04be5e,"add subject with name=math, description='the best subject ever!'",add,subject,"{'name': 'math', 'description': 'the best subject ever!'}",{},2,ORIGINAL
add,student,{'name': 'anderson'},{},,ac48750f-ffd1-4980-a79e-edf318a4e715,add student name=anderson,add,student,{'name': 'anderson'},{},1,ORIGINAL
read,student,{'name': 'anderson'},{},,a2c48644-e3ce-4044-bdf6-c27d5efee967,get students with name anderson,read,student,{},{'name': 'anderson'},1,ORIGINAL
read,teacher,{},{},,e3a4c1ef-56a7-42bc-b2b8-5cfae85659a5,show me the teachers,read,teacher,{},{},0,ORIGINAL
read,teacher,{},{},,0d3d8efc-1f56-4e21-a075-c44248da10a0,show teachers,read,teacher,{},{},0,ORIGINAL
read,,,,,30436689-fe4f-4e41-86be-c8f4c8f18db6,show teacher,read,teacher,{},{},0,ORIGINAL
add,outcome,{'dome_created_at': '2025-09-17'},{},,4ed97a3a-fdd5-4040-91e6-07bf8345a608,"include outcome value 900, date is today, and description is ""adjusting the numbers""",add,outcome,"{'value': '900', 'date': 'today', 'description': 'adjusting the numbers'}",{},3,ORIGINAL
read,in,{'invoices': ''},{},,bb82509c-39fd-485d-8f89-29ceeed60686,get invoices,read,invoice,{},{},0,ORIGINAL
add,test,"{'scope': 'module', 'x': '', 'date': '01/01/2022', 'timeout': '100', 'limit': '10'}",{},,539e406f-d7e1-453c-b356-203e3509d15d,"add a test with scope=module x, date=01/01/2022, timeout = 100, limit=10",add,test,"{'scope': 'module x', 'date': '01/01/2022', 'timeout': '100', 'limit': '10'}",{},4,ORIGINAL
add,a,"{'test': 'with', 'scope': 'module', 'y': '', 'number': '8'}",{},,f64db149-4503-4f89-998b-4272df56a6cd,add a test with scope=module y and number = 8,add,test,"{'scope': 'module y', 'number': '8'}",{},2,ORIGINAL
add,student,"{'name': 'anderson', 'age': '199'}",{},,4ca3c07f-0050-451a-808e-4d1f87ea497e,"add student with name=anderson, age=199",add,student,"{'name': 'anderson', 'age': '199'}",{},2,ORIGINAL
delete,student,"{'name': 'is', 'student': 'anderson'}",{},,62452ced-7171-4a46-afc5-569a7d4f53cb,"delete student name is anderson, and age is 199",delete,student,{},"{'name': 'anderson', 'age': '199'}",2,ORIGINAL
add,article,{},{},,f15bec26-54fb-4d21-9a9a-41d64630d747,"add article with title=the title, author=the author",add,article,"{'title': 'the title', 'author': 'the author'}",{},2,ORIGINAL
update,,,,,62ff5b31-43fa-4760-a618-ed77e9ccde7d,"update article with title ""the title"" and author ""the author"" set the title to ""the new title""",update,article,{'title': 'the new title'},"{'title': 'the title', 'author': 'the author'}",3,ORIGINAL
add,article,{'author': 'anderson'},{},,f87e1e6f-172d-40ab-8c51-0c08237f0e9e,add article with author=anderson,add,article,{'author': 'anderson'},{},1,ORIGINAL
delete,article,{'author': 'anderson'},{},,730809cc-7d5d-4468-ae4e-e995ae08b6e9,"delete article when author=""anderson""",delete,article,{},{'author': 'anderson'},1,ORIGINAL
read,article,{},{},,14b55745-5d6e-4249-a2dc-e64b271dbb9e,show me the articles,read,article,{},{},0,ORIGINAL
add,article,"{'author': 'the author', 'keywords': 'the keywords'}",{},,d322e504-3bf0-4f33-b80f-c2b8935a5813,"add article with title=the title, author=the author, abstract=the abstract, keywords=the keywords",add,article,"{'title': 'the title', 'author': 'the author', 'abstract': 'the abstract', 'keywords': 'the keywords'}",{},4,ORIGINAL
update,,,,,8eca1e13-d850-497f-8b26-d1a317db40ec,"update article with title ""the title"", setting the co-author as ""anderson gomes""",update,article,{'co_author': 'anderson gomes'},{'title': 'the title'},2,ORIGINAL
update,article,{},,,a63338db-91cb-489a-8249-f97b1bb80de6,"update article with id=1, setting the first author as ""paulo maia""",update,article,{'first_author': 'paulo maia'},{'id': '1'},2,ORIGINAL
read,student,{},{},,a68a59ee-f65c-46c4-8948-1610f14f10d3,show all students,read,student,{},{},0,ORIGINAL
read,student,{},{},,0c752a7b-58f3-4408-a384-ffbbef54bd3c,view students,read,student,{},{},0,ORIGINAL
read,student,{},{},,4e4238c5-6b45-4a2b-ba05-cc390f30e295,fetch the students,read,student,{},{},0,ORIGINAL
read,student,{},{},,093a4181-93de-46da-86de-01276c151fb4,get the students,read,student,{},{},0,ORIGINAL
update,student,{},,,c43290fb-9cb3-4d0e-9364-a54a5cc31046,"for the students with name='anderson', update the name to 'anderson martins'",update,student,{'name': 'anderson martins'},{'name': 'anderson'},2,ORIGINAL
update,student,{},,,bfa298a6-9eaf-4679-838d-3681b6dcec7d,please change student with name paulo update age to 30,update,student,{'age': '30'},{'name': 'paulo'},2,ORIGINAL
update,student,{'age': 'to 30'},{'name': 'anderson'},,786c492f-b014-4efe-9b8e-138ec3399627,"for students with name anderson, update age to 30",update,student,{'age': '30'},{'name': 'anderson'},2,ORIGINAL
update,student,{},,,0661e73d-902e-45d6-bad7-d161d075fa0f,"for students, update age to 30",update,student,{},{},0,ORIGINAL
update,student,{},,,320d9d06-82d1-496b-95b7-ea34c028ed73,update students,update,student,{},{},0,ORIGINAL
update,student,{},,,ad00be66-e5dc-4208-beb8-56e2ceb0e234,"please, when students have the name equal to anderson, update the age to 30.",update,student,{'age': '30'},{'name': 'anderson'},2,ORIGINAL
update,student,{'age': 'to 42'},{'name': 'is'},,f1425774-b715-4293-b7b7-170f01774b4a,update students setting the age to 42 when name is anderson,update,student,{'age': '42'},{'name': 'anderson'},2,ORIGINAL
update,,,,,be9e7536-ecdb-4b1d-be53-978fbd47286e,update students set the age to 42 when name is anderson,update,student,{'age': '42'},{'name': 'anderson'},2,ORIGINAL
update,student,{},,,521200d6-4553-466b-87b5-2dc72f3ef090,set students with age to 42 when name is anderson,update,student,{'age': '42'},{'name': 'anderson'},2,ORIGINAL
update,student,{'age': 'to 42'},{'name': 'anderson'},,fe48dd03-f476-4214-a564-8be4f7c19f9e,"for students with name anderson, update the age to 42",update,student,{'age': '42'},{'name': 'anderson'},2,ORIGINAL
update,student,{},,,8a257640-9f2b-4bca-918a-4853fe10383e,"please, change the student with name='anderson', updating the age to 30",update,student,{'age': '30'},{'name': 'anderson'},2,ORIGINAL
add,student,{'name': 'joseph'},{},,865c07da-1a5c-4fdf-90d2-c32dedb43a54,add a student with name joseph,add,student,{'name': 'joseph'},{},1,ORIGINAL
add,article,{'title': 'dome: a no-code tool'},{},,e92e8183-1028-4e39-b1ba-229ae6649cf0,add article with title 'dome: a no-code tool',add,article,{'title': 'dome: a no-code tool'},{},1,ORIGINAL
