processed_intent,processed_class,processed_attributes,processed_filter_attributes,processed_key_quantity,id,user_msg,expected_intent,expected_class,expected_attributes,expected_filter_attributes,expected_key_quantity,dataset
add,person__or_student__given_the_context_,{'20': 'gomes'},{},,f4b14afa-38bf-4f45-82bd-a8e4079a2bc0,"add student with name=anderson martins gomes, age=20",add,student,"{'name': 'anderson martins gomes', 'age': '20'}",{},2,ORIGINAL
add,subject,{},{},,f96d2223-1db9-4f58-8100-d17941506fe5,"add subject with name=brazilian history, description=the history of brazil",add,subject,"{'name': 'brazilian history', 'description': 'the history of brazil'}",{},2,ORIGINAL
add,person,{'br': 'henrique'},{},,f4fdd376-cb5b-4513-a9a7-7738f4d3a7ae,"add teacher with name=paulo henrique, age=65, email=ph@uece.br",add,teacher,"{'name': 'paulo henrique', 'age': '65', 'email': 'ph@uece.br'}",{},3,ORIGINAL
add,subject,{},{},,dc1d98c5-dadc-4869-bdeb-ea97a58202bc,"add subject with name=math, description=the best subject ever",add,subject,"{'name': 'math', 'description': 'the best subject ever'}",{},2,ORIGINAL
add,subject__or_topic_,{},{},,fa8fba40-c140-4321-9f43-3c2b86d9d0ff,"add subject with name=math, description='the best subject ever!'",add,subject,"{'name': 'math', 'description': 'the best subject ever!'}",{},2,ORIGINAL
add,_person__or__student___both_are_appropriate_given_the_context_,{},{},,ee56f7a4-5240-415e-85ec-9f35d4fda8cb,add student name=anderson,add,student,{'name': 'anderson'},{},1,ORIGINAL
read,person__or_more_specifically__student__as_it_s_implied_they_are_students_due_to_the_context_,{},{},,25616758-e084-4028-a42e-eb1498c51ecf,get students with name anderson,read,student,{},{'name': 'anderson'},1,ORIGINAL
read,teachers,{},{},,a071b9d8-f18d-43f8-903d-955d127253ff,show me the teachers,read,teacher,{},{},0,ORIGINAL
read,person__more_specifically_teacher__based_on_the_given_context_,{},{},,00e033aa-5b51-49b6-809b-d832ffb27aa5,show teachers,read,teacher,{},{},0,ORIGINAL
,,,,,2d4a086c-4667-4350-8f10-17c298060c22,show teacher,read,teacher,{},{},0,ORIGINAL
add,event__or_possibly_action__depending_on_the_context_or_specific_ontology_used_,{'dome_created_at': '2025-09-20'},{},,23adfe90-e172-4214-a9c5-2ec9261917c2,"include outcome value 900, date is today, and description is ""adjusting the numbers""",add,outcome,"{'value': '900', 'date': 'today', 'description': 'adjusting the numbers'}",{},3,ORIGINAL
read,invoice,{},{},,538cb464-f577-4a95-9ab0-79e0efee6f51,get invoices,read,invoice,{},{},0,ORIGINAL
add,testcase_or_test__depending_on_the_context_of_your_system_,{},{},,18245aeb-2083-42f8-a9e8-faff958f596c,"add a test with scope=module x, date=01/01/2022, timeout = 100, limit=10",add,test,"{'scope': 'module x', 'date': '01/01/2022', 'timeout': '100', 'limit': '10'}",{},4,ORIGINAL
add,test__or_more_specifically__test_case_,{},{},,0ade5f86-782f-4f59-bd46-0e1240bb579d,add a test with scope=module y and number = 8,add,test,"{'scope': 'module y', 'number': '8'}",{},2,ORIGINAL
add,person__implied_by_student_,{'199': 'anderson'},{},,c4df24e7-48d4-4706-8e23-223d223c1225,"add student with name=anderson, age=199",add,student,"{'name': 'anderson', 'age': '199'}",{},2,ORIGINAL
delete,person__or_possibly_student_,{'199': 'anderson'},{},,c1e3967d-5133-4493-b3a7-80834dc66608,"delete student name is anderson, and age is 199",delete,student,{},"{'name': 'anderson', 'age': '199'}",2,ORIGINAL
add,article,{},{},,ed8cf6af-4307-40c7-aad9-11cdaf8530f0,"add article with title=the title, author=the author",add,article,"{'title': 'the title', 'author': 'the author'}",{},2,ORIGINAL
update,article__based_on_the_action_of_updating_an_article_,{},,,f3ec3bd5-a323-47f9-a9be-3afe254065f6,"update article with title ""the title"" and author ""the author"" set the title to ""the new title""",update,article,{'title': 'the new title'},"{'title': 'the title', 'author': 'the author'}",3,ORIGINAL
add,author,{},{},,8eef1111-6c32-42e6-8269-d9a81169b969,add article with author=anderson,add,article,{'author': 'anderson'},{},1,ORIGINAL
delete,author__assuming__article__is_an_assumed_context_,{},{},,48937fd2-82ad-4b03-8fa3-61fa7f046f0a,"delete article when author=""anderson""",delete,article,{},{'author': 'anderson'},1,ORIGINAL
read,articles__assuming_a_context_of_discussing_documents_or_news_,{},{},,a1970f95-4dca-4e91-9c58-872a0069fa82,show me the articles,read,article,{},{},0,ORIGINAL
add,article,{},{},,c0269db6-7be6-4bf5-8b7e-890040df3b6a,"add article with title=the title, author=the author, abstract=the abstract, keywords=the keywords",add,article,"{'title': 'the title', 'author': 'the author', 'abstract': 'the abstract', 'keywords': 'the keywords'}",{},4,ORIGINAL
update,entity_class__article__person__for__anderson_gomes__,{},,,1e6f6c7d-8429-46f7-9eb6-ecc813bba161,"update article with title ""the title"", setting the co-author as ""anderson gomes""",update,article,{'co_author': 'anderson gomes'},{'title': 'the title'},2,ORIGINAL
update,article__author,{},,,f53bd7e2-4785-4984-aef0-d188a5d5c293,"update article with id=1, setting the first author as ""paulo maia""",update,article,{'first_author': 'paulo maia'},{'id': '1'},2,ORIGINAL
read,students__singular__student_,{},{},,d3c47d1c-c523-450f-9fed-524b925c92e7,show all students,read,student,{},{},0,ORIGINAL
read,student,{},{},,195de954-8f65-454f-a41b-cf569133dca5,view students,read,student,{},{},0,ORIGINAL
read,students,{},{},,03b7fa10-b738-4745-8ee9-aeb35d86d759,fetch the students,read,student,{},{},0,ORIGINAL
read,student,{},{},,f3cdfa99-b049-45b1-8559-cd0e93c31b1b,get the students,read,student,{},{},0,ORIGINAL
update,person,"{""'"": 'anderson'}",{},,363fd052-1a1f-4891-889a-1d97723d4fec,"for the students with name='anderson', update the name to 'anderson martins'",update,student,{'name': 'anderson martins'},{'name': 'anderson'},2,ORIGINAL
update,person,{'30': 'paulo'},{},,d4becf7d-ed31-4bca-8e1b-5b0227f4eb6f,please change student with name paulo update age to 30,update,student,{'age': '30'},{'name': 'paulo'},2,ORIGINAL
